,DIGIT,DOT,LETTER,OTHER,SYMBOL,MULTIPLICATIVEOP,ADDITIVEOP,UNDERSCORE,EQUALS,GREATERTHAN,SMALLERTHAN,WHITESPACE,NEWLINE,SLASH
START,DIGIT,ERROR,IDENTIFIER,ERROR,SYMBOL,SYMBOL,SYMBOL,IDENTIFIER,EQUALS,GREATERTHAN,SMALLERTHAN,ERROR,ERROR,SLASH
DIGIT,DIGIT,DIGITDOT,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
DIGITDOT,FLOAT,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
FLOAT,FLOAT,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
IDENTIFIER,IDENTIFIER,ERROR,IDENTIFIER,ERROR,ERROR,ERROR,ERROR,IDENTIFIER,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
SYMBOL,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
GREATERTHAN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,RELATION,ERROR,ERROR,ERROR,ERROR,ERROR
SMALLERTHAN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,RELATION,RELATION,ERROR,ERROR,ERROR,ERROR
EQUALS,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,RELATION,ERROR,ERROR,ERROR,ERROR,ERROR
RELATION,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
SLASH,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,EQUALS,ERROR,ERROR,ERROR,ERROR,COMMENT
COMMENT,COMMENT,COMMENT,COMMENT,COMMENT,COMMENT,COMMENT,COMMENT,COMMENT,COMMENT,COMMENT,COMMENT,COMMENT,ERROR,COMMENT
